fr(MHz);Re(A.U.);Im(A.U.);Abs(A.U.)
55.720363636363636;-0.44273839819997535;-0.6342065643814804;0.7734566927406089
55.72056717750335;-0.08557419407535721;-1.303845100739543;1.3066502934657598
55.72077071864306;0.12971992442573124;-1.872524955071634;1.8770127773030856
55.72097425978277;0.34526893518684393;-2.4127465039018374;2.437325651138066
55.72117780092248;0.5535069767087751;-3.061343410859617;3.110979500491587
55.721381342062195;0.7865378012052859;-3.5615553799212862;3.64737144214448
55.721584883201906;1.0180831881949588;-3.5426524605656735;3.6860385014860104
55.72178842434162;0.9860327982652173;-3.4024825552620173;3.542477694794574
55.72199196548133;0.9670920983005457;-3.2454699282642725;3.3864940841322984
55.72219550662104;0.9449985644307369;-3.0739005418471574;3.215880412568913
55.72239904776075;0.8589174686898012;-2.8052817885932058;2.9338277269521456
55.722602588900465;0.6777965306990044;-2.3244571704527353;2.4212619177397436
55.72280613004017;0.44592918298442896;-1.761963213850484;1.8175167683406628
55.72300967117988;0.07180664994672324;-1.1897546604568405;1.191919605953079
55.72321321231959;-0.23020493164421577;-0.7383173891881905;0.7733736986289254
55.723416753459304;-0.5696995989475332;-0.28352639559902904;0.6363527716937809
55.723620294599016;-0.8337843938775581;0.3754660773463192;0.9144239666104553
55.72382383573873;-1.1480084067776373;0.9531429591852921;1.492114205641319
55.72402737687844;-1.4137544168800835;1.1104001357241646;1.7976901881759795
55.72423091801815;-1.460166613714883;1.2467952516135483;1.9200481606599558
55.72443445915786;-1.5381871083028644;1.3608671339542129;2.053771880327969
55.724638000297574;-1.707441595719991;1.5035608808529348;2.27509387173938
55.724841541437286;-1.7329756137503316;1.6911339662842022;2.421391866215272
55.725045082577;-1.624917537249713;1.6312020086012948;2.302428499590502
55.72524862371671;-1.3819795104701371;1.3755886723283546;1.949900398173549
55.72545216485642;-0.8004077169314712;1.1580784890309357;1.4077635810318525
55.72565570599613;-0.2787845538056836;1.083819879209223;1.1191006916313335
55.725859247135844;0.1730025957387913;1.0450568572721881;1.0592798181141667
55.726062788275556;0.5850125776118694;0.8519677183383715;1.033483773000222
55.72626632941527;1.1074072093389218;0.6533143505530613;1.2857567296866024
55.72646987055498;1.5884073750307688;0.7290463263516966;1.7477261041190184
55.72667341169469;2.071886955608799;0.79054373904627;2.2175831348941926
55.7268769528344;2.6349062390789033;0.903883082202126;2.7856301827464724
55.727080493974114;3.209312572784031;1.0306066369723874;3.3707324471101514
55.727284035113826;3.5330841493178733;1.0579348636374186;3.6880767049860452
55.72748757625353;3.6950431239339276;1.2996975577784542;3.916957675215125
55.72769111739324;3.6188304768036055;1.7148858631450539;4.0045933056251
55.72789465853295;3.208746917643533;2.021280837838406;3.792312356188451
55.728098199672665;2.94208813944326;2.180740779672246;3.6621732575587163
55.72830174081238;2.735003881190269;2.3274237006083163;3.591259850286407
55.72850528195209;2.3403572388861824;2.5559552098485394;3.4655705216253856
55.7287088230918;1.7026706875244702;2.8207534882096947;3.2948046545132557
55.72891236423151;1.0080438323343706;2.8651484369963836;3.0373060323138636
55.72911590537122;0.1220022745975617;2.883516268945746;2.88609608784631
55.729319446510935;-0.7885614687716752;2.7960143005438773;2.9050860845897852
55.72952298765065;-1.637639829243713;2.6398963839895484;3.106592526954005
55.72972652879036;-2.404348580639872;2.5530930424450142;3.5070181323463534
55.72993006993007;-3.0991702489896156;2.2612621644347155;3.836425785614304
55.73013361106978;-3.53112232355782;1.8340059666679864;3.9789951934756282
55.73033715220949;-3.757576165558327;1.5279404258105733;4.056350648649376
55.730540693349205;-4.166570755335328;1.2752851577934219;4.357368941563681
55.73074423448892;-4.521417793542116;0.8852718220773499;4.607268720481084
55.73094777562863;-4.624700685680644;0.41159388751895404;4.642980288605368
55.73115131676834;-4.388831471165094;-0.15151254336103628;4.391445972921094
55.73135485790805;-3.9877310146868497;-0.46086898048957603;4.014274388064786
55.73155839904776;-3.309812054246537;-0.7111985514795116;3.3853595398513048
55.731761940187475;-2.705729922532063;-0.9670924957057531;2.8733677643030218
55.73196548132719;-2.0826833818255226;-1.316334799297845;2.4637993775416644
55.73216902246689;-1.2735787135522556;-1.7395218610512742;2.1559079397526943
55.7323725636066;-0.3256160223611075;-2.010736624188856;2.03693091828679
55.732576104746315;0.41584504402785466;-2.0990405775850136;2.139836079467527
55.732779645886026;1.1162243445272952;-2.28779852432402;2.545580262968456
55.73298318702574;1.9424206888164617;-2.610975703082464;3.254257558096652
55.73318672816545;2.713010132586279;-2.8480600430801424;3.933429799615786
55.73339026930516;3.469133520554969;-3.0138855806800042;4.595475348303912
55.73359381044487;3.978723292032267;-3.069954607216061;5.025421407695796
55.733797351584585;4.288699402156392;-3.380631718107632;5.4609168987938235
55.734000892724296;4.3441389408141715;-3.727760682319715;5.724311560506365
55.73420443386401;4.494256203886072;-4.038459229980698;6.042142978975649
55.73440797500372;4.555542427824024;-4.159688679252596;6.168952643683287
55.73461151614343;4.410077741564817;-4.229646483296623;6.110539670136258
55.73481505728314;3.988573874317383;-4.365768856098437;5.913430413538848
55.735018598422855;3.7400572827216307;-4.750348827272588;6.0459773782912185
55.735222139562566;3.3924428797404316;-4.979092627444358;6.024950795232465
55.73542568070228;2.959900488546233;-4.89820401513701;5.723059800141927
55.73562922184199;2.509412799784151;-4.75151638384563;5.373458899598468
55.7358327629817;1.8157496379394358;-4.717036806495855;5.054441906038075
55.73603630412141;1.1482407644476664;-4.7043422191660165;4.842446960800624
55.736239845261125;0.7016035649045701;-4.43958580872088;4.494682382024633
55.736443386400836;0.36630871766089196;-4.063777421055549;4.080253546596738
55.73664692754055;-0.04912489939169544;-3.5148327345166868;3.515176013711162
55.73685046868025;-0.38418239042893165;-3.074455150707282;3.0983657922889325
55.737054009819964;-0.74431675266724;-2.7177374127790075;2.817819027744656
55.737257550959676;-0.9202866251717525;-2.2541350466799015;2.4347591833979423
55.73746109209939;-1.2737926329546205;-1.3849092973219999;1.8816273365303715
55.7376646332391;-1.575831761077262;-0.6263910620726819;1.695762808256039
55.73786817437881;-1.7777247735826045;-0.1178696374222889;1.781628081849684
55.73807171551852;-1.885320080423018;0.2950804260610053;1.9082725862650227
55.738275256658234;-1.7287304773786896;0.8486374708936996;1.9257971389590356
55.738478797797946;-1.5337346684629394;1.4012273214791982;2.0774455563756393
55.73868233893766;-1.6695994772080733;1.882245141386519;2.516030442297277
55.73888588007737;-1.9079402540903976;2.2458882909480256;2.9469051950471656
55.73908942121708;-2.016968316136843;2.2928332803833134;3.053726516886081
